user_id,product_id,interaction
100140882,100181076,2
100705743,5500323,2
117954865,17301049,2
128029678,12703931,8
128968633,100009754,2
128968633,100021427,2
128968633,100021429,2
128968633,19100422,4
128968633,3900914,2
