product_id,avg_score,interaction_count,normalized_count,popularity_score
1001588,5.0,1,0.0,3.5
1002098,3.7142857142857144,14,0.01547619047619048,2.623214285714286
1002482,5.0,1,0.0,3.5
1002524,4.476190476190476,126,0.14880952380952384,3.356547619047619
1002525,4.318181818181818,44,0.051190476190476196,3.0995129870129867
1002527,3.0,1,0.0,2.0999999999999996
1002528,4.304347826086956,23,0.026190476190476195,3.0523291925465834
1002531,4.4,10,0.010714285714285714,3.096071428571429
1002532,4.666666666666667,12,0.013095238095238097,3.286309523809524
1002535,5.0,2,0.0011904761904761906,3.5017857142857145
1002538,3.909090909090909,11,0.011904761904761908,2.754220779220779
1002540,4.464788732394366,71,0.08333333333333334,3.250352112676056
1002542,4.6,20,0.022619047619047622,3.2539285714285713
1002544,4.442764578833693,463,0.55,3.934935205183585
1002545,4.208333333333333,48,0.055952380952380955,3.029761904761904
1002546,3.5,4,0.0035714285714285718,2.455357142857143
1002547,4.340425531914893,94,0.11071428571428572,3.204369300911854
1002548,4.25,8,0.008333333333333335,2.9875
1002629,3.0,1,0.0,2.0999999999999996
1002633,3.0,2,0.0011904761904761906,2.101785714285714
1002634,3.0,2,0.0011904761904761906,2.101785714285714
1002701,3.0,1,0.0,2.0999999999999996
1002906,4.333333333333333,3,0.002380952380952381,3.0369047619047613
1002923,3.0,1,0.0,2.0999999999999996
1002987,5.0,2,0.0011904761904761906,3.5017857142857145
1002995,4.416666666666667,24,0.027380952380952384,3.1327380952380954
1003028,5.0,1,0.0,3.5
1003052,3.0,1,0.0,2.0999999999999996
1003080,3.0,2,0.0011904761904761906,2.101785714285714
1003141,4.090909090909091,11,0.011904761904761908,2.881493506493506
1003304,4.04,50,0.058333333333333334,2.9154999999999998
1003305,3.923076923076923,13,0.014285714285714287,2.767582417582417
1003306,4.4772727272727275,88,0.10357142857142859,3.2894480519480522
1003307,4.0,14,0.01547619047619048,2.8232142857142857
1003308,4.2727272727272725,11,0.011904761904761908,3.0087662337662335
1003309,4.379310344827586,29,0.03333333333333333,3.11551724137931
1003310,4.5,8,0.008333333333333335,3.1625
1003311,4.333333333333333,6,0.005952380952380953,3.0422619047619044
1003312,4.32,50,0.058333333333333334,3.1115
1003316,4.037037037037037,27,0.030952380952380957,2.872354497354497
1003317,3.0,1,0.0,2.0999999999999996
1003318,3.0,1,0.0,2.0999999999999996
1003319,4.409090909090909,44,0.051190476190476196,3.1631493506493507
1003333,4.5,24,0.027380952380952384,3.1910714285714286
